# Server version 0.08 running on 192.168.0.119:8123
# Game ID: 6
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sun Mar 27 23:03:31 EDT 2016
# Player 1: Player-0, 'Human', running on 192.168.0.119
# Player 2: Player-1, 'Human', running on 192.168.0.119
START Player-0 Human
START Player-1 Human
PIT 0 23
PIT 1 23
PIT 0 22
PIT 1 22
PIT 0 21
PIT 1 20
PIT 0 25
PIT 1 18
PIT 0 20
PIT 1 19
PIT 0 23
PIT 1 23
PIT 0 26
PIT 1 14
PIT 0 10
PIT 1 24
PIT 0 24
PIT 1 12
PIT 0 26
PIT 1 25
PIT 0 17
PIT 1 31
PIT 0 21
PIT 1 26
PIT 0 18
PIT 1 29
PIT 0 13
PIT 1 30
PIT 0 14
PIT 1 8
PIT 0 9
