# Server version 0.08 running on 192.168.2.247:8123
# Game ID: 13
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Mar 28 19:35:55 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on 192.168.2.247
# Player 2: Player-1, 'xxxxxxxxx', running on 192.168.2.247
START Player-0 RandomHusPlayer
START Player-1 xxxxxxxxx
PIT 0 20
PIT 1 0
PIT 0 15
PIT 1 18
PIT 0 2
PIT 1 16
PIT 0 9
PIT 1 13
PIT 0 14
PIT 1 1
PIT 0 16
PIT 1 12
PIT 0 6
PIT 1 20
PIT 0 20
PIT 1 3
PIT 0 29
PIT 1 17
PIT 0 31
PIT 1 26
PIT 0 19
PIT 1 6
PIT 0 25
PIT 1 27
PIT 0 2
PIT 1 29
PIT 0 5
PIT 1 30
PIT 0 1
PIT 1 18
PIT 0 6
PIT 1 4
PIT 0 18
PIT 1 19
PIT 0 10
PIT 1 9
PIT 0 8
PIT 1 21
PIT 0 27
PIT 1 2
PIT 0 20
PIT 1 12
PIT 0 25
PIT 1 28
PIT 0 4
PIT 1 22
PIT 0 6
PIT 1 1
PIT 0 31
PIT 1 24
PIT 0 19
PIT 1 30
PIT 0 24
PIT 1 9
PIT 0 26
PIT 1 12
PIT 0 27
PIT 1 13
PIT 0 3
PIT 1 14
PIT 0 24
PIT 1 15
PIT 0 20
PIT 1 16
PIT 0 23
GAMEOVER WINNER 0
# Game ended: Mon Mar 28 19:36:16 EDT 2016
