# Server version 0.08 running on 192.168.2.247:8123
# Game ID: 28
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Mar 28 20:59:51 EDT 2016
# Player 1: Player-0, 'xxxxxxxxx', running on 192.168.2.247
# Player 2: Player-1, 'xxxxxxxxx', running on 192.168.2.247
START Player-0 xxxxxxxxx
START Player-1 xxxxxxxxx
PIT 0 2
PIT 1 2
PIT 0 14
PIT 1 23
PIT 0 20
PIT 1 0
PIT 0 11
PIT 1 24
PIT 0 18
PIT 1 15
PIT 0 3
PIT 1 3
PIT 0 25
PIT 1 1
PIT 0 9
PIT 1 18
PIT 0 20
PIT 1 9
PIT 0 24
PIT 1 5
PIT 0 28
PIT 1 2
PIT 0 24
PIT 1 3
PIT 0 15
PIT 1 4
PIT 0 22
PIT 1 5
PIT 0 3
PIT 1 8
PIT 0 4
PIT 1 11
PIT 0 5
PIT 1 12
PIT 0 15
PIT 1 15
PIT 0 11
PIT 1 9
PIT 0 27
PIT 1 16
PIT 0 26
GAMEOVER WINNER 0
# Game ended: Mon Mar 28 21:00:20 EDT 2016
